9694901 | Rhizobium | drought | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
10326438 | Pseudomonas | salt | pea | A Pseudomonas strain strengthens the root apoplast barriers, countering the effects of high salinity in plants In two recent studies, a research group discovered that a Pseudomonas strain known as Pseudomonas mandelii IB-Ki14 was able to help wheat and pea better tolerate salt in the soil by increasing the deposition of suberin and lignin in xylem cell walls, suberin lamellae, and Casparian strips -REF-; -REF-, -REF-. | YES
11048422 | Microbacterium azadirachtae | salt stress | maize | The results showed that seed priming with Microbacterium azadirachtae CNUC13 strain could protect maize from salt stress by modulating plant growth parameters, photosynthetic efficiency, lipid peroxidation, reactive oxygen species, and antioxidant enzyme activities. | YES
11048422 | Microbacterium azadirachtae | salt-stressed | maize | Overall, this study demonstrates that Microbacterium azadirachtae CNUC13 significantly enhances the growth of salt-stressed maize seedlings by improving photosynthetic efficiency, osmotic regulators, oxidative stress resilience, and antioxidant enzyme activity. | YES
10101020 | Kushneria | salt stress | rice | Importantly, the dominant taxa Kushneria and Bacillus, which are salt tolerant and growth promoting, were isolated from the phyllosphere and rhizosphere, respectively, and verified to have the ability to alleviate salt stress and promote the growth of rice. | YES
10101020 | Kushneria | salt | rice | Importantly, the dominant taxa Kushneria and Bacillus, which are salt tolerant and growth promoting, were isolated from the phyllosphere and rhizosphere, respectively, and verified to have the ability to alleviate salt stress and promote the growth of rice. | YES
8891170 | Aspergillus terreus | salt tolerance | rice | Conclusively, salt-tolerant endophytic fungus Aspergillus terreus explicitly displayed the positive plant–microbe interaction by developing salt tolerance in rice and maize plants. | YES
11208634 | Bacillus aryabhattai | salt | rice | Bacillus subtilis showed the greatest benefits, while both the endophytic and epiphytic Bacillus aryabhattai had commendable effects in mitigating salt stress–induced damage in rice plants. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | Our results demonstrate the potential of deep-sea Dermacoccus abyssi MT1.1T to mitigate salt stress in tomato seedlings and as a candidate of eco-friendly bio-inoculants for sustainable agriculture. | YES
11176432 | Enterobacter cancerogenus | salt tolerance | rice | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels -REF-, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length -REF-. | YES
11176432 | Azotobacter | salinity | cherry tomato | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels -REF-, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length -REF-. | YES
11176432 | Azotobacter | salt tolerance | cherry tomato | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels -REF-, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length -REF-. | YES
9121094 | Planococcus soli | salt stress | maize | In our results, we observed that maize inoculated with Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 showed better growth prospects under salt stress. | YES
9121094 | Planococcus soli | salt stress | maize | For example, in the germination experiment, the strains Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 reduced the adverse effect of salt stress on the maize germination rate compared with the control -REF-. | YES
9121094 | Bacillus atrophaeus | salt stress | maize | For example, in the germination experiment, the strains Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 reduced the adverse effect of salt stress on the maize germination rate compared with the control -REF-. | YES
9121094 | Planococcus soli | salt stress | maize | In the pot experiment, we also found that the strains Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 had a certain alleviating effect on the growth of maize under salt stress. | YES
9121094 | Bacillus atrophaeus | salt stress | maize | In the current study, Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 produced a large number of EPS -REF-, which could help maize plants resist salt stress. | YES
9121094 | Bacillus | salt stress | maize | A previous study indicated that Bacillus promoted the growth of maize under salt stress by upregulating the expression of the plant ion homeostasis-related genes NHX1 and HKT1. | YES
9121094 | Planococcus soli | salt stress | maize | Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 could protect maize from salt stress, which could be considered the integration of multiple physiological processes, including improving plant mineral nutrition and increasing plant antioxidant capacity through plant hormones IAA and ABA, and the expression of transporter genes, increasing the K+/Na+ ratio in maize plants. | YES
6987256 | Pantoea alhagi | salt tolerance | rice | Here, we report for the first time on the effect of the endophyte Pantoea alhagi NX-11 in enhancing salt tolerance in rice Oryza sativa L. ssp. | YES
6987256 | endophytic bacterium | salt stress | rice | Conclusion In this study, we isolated the endophytic bacterium Pantoea alhagi NX-11, which produces high levels of EPSs, from the roots of sea rice and found that the inoculation of rice seedlings with this bacterium could effectively alleviate the toxicity of salt stress. | YES
9712829 | Trichoderma harzianum | salt stress | cucumber | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma harzianum | salt stress | wheat | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma afroharzianum | salt stress | Arabidopsis | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma longibrachiatum | salt stress | Arabidopsis | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Trichoderma longibrachiatum | salt stress | barley | Trichoderma harzianum, Trichoderma virens, Trichoderma atroviride, Trichoderma asperelloides, Trichoderma longibrachiatum, Trichoderma yunnanense, and Trichoderma afroharzianum have shown the ability to promote seed germination and plant growth of Arabidopsis up to 100 mM NaCl -REF-, cucumber up to 200 mM NaCl -REF-, wheat up to 200 mM NaCl -REF- and barley up to 200 mM NaCl -REF- under salt stress -REF-. | YES
9712829 | Pseudomonas | salt stress | cucumber | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
9712829 | Pseudomonas | salt stress | oats | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
9712829 | Pseudomonas putida | salt tolerance | tomato | The mutation of trehalose synthesis in Pseudomonas putida UW4 completely blocked the promotion of tomato root development and growth under saline conditions, suggesting a critical role of microbe-produced osmolytes in plant salt tolerance -REF-, -REF-. | YES
8840115 | Pseudomonas fluorescens | salinity stress | maize | Under salinity stress, salt-tolerant Pseudomonas fluorescens promotes plant growth in maize -REF-. | YES
11284086 | Pseudomonas fluorescens | salinity | soybean | Application of Pseudomonas putida, Pseudomonas fluorescens, and Bacillus subtilis provided salinity tolerance in soybean -REF-. | YES
11284086 | Piriformospora indica | salinity stress | barley | For instance, Piriformospora indica, a root-colonizing basidiomycete fungus, promotes growth and provides resistance against mild salinity stress in barley by activating the antioxidative capacity through the glutathione–ascorbate cycle -REF-. | YES
11284086 | Pseudomonas putida | salinity | soybean | Similarly, Pseudomonas putida H-2–3, another GA producer, improved soybean growth under salinity and drought Supplementary Table 1 -REF-. | YES
11284086 | Variovorax paradoxus | salinity | Pisum sativum | Similarly, inoculation with Variovorax paradoxus 5C-2, an ACC deaminase-producing PGPM, has provided salinity tolerance in Pisum sativum L. cv. | YES
8835006 | Actinobacteria | water stress | wheat | It has also been demonstrated that Actinobacteria are characterized by the ability to promote wheat growth in water stress conditions -REF-. | YES
9608499 | Bacillus | salt stress | wheat | The overall data demonstrated that wheat seedlings treated with selected Bacillus strains have increased root morphological parameters as compared with control under normal conditions 200 mmol, whereas NMCN1 and LLCG23 were found to be more efficient to alleviate the risk of high salt stress conditions 200 mmol as compared with FZB42 as shown in -REF-. | YES
9608499 | Bacillus | salt stress | wheat | The regulation of genes related to phytohormones in the same pattern by halophilic Bacillus strains NMCN1 and LLCG23 significantly showed their main role in wheat growth promotion under salt stress conditions. | YES
9608499 | Bacillus | saline conditions | wheat | Furthermore, these halophilic Bacillus strains salt-loving were found to have positive effects on wheat growth parameters and minimize the adverse effects of saline conditions. | YES
11048422 | Bacillus | salt-stressed | wheat | -REF- reported that the application of Bacillus halotolerant KKD1 during wheat cultivation under salt-stressed conditions significantly enhanced plant growth and salt tolerance by inducing a plant stress response that included modulation of phytohormone levels, regulation of lipid peroxidation, accumulation of betaine, and exclusion of Na+. | YES
11048422 | Microbacterium azadirachtae | salt stress | maize | In this study, we isolated Microbacterium azadirachtae CNUC13 from the rhizosphere of maize and demonstrated its ability to promote plant growth and induce salt stress tolerance. | YES
10027718 | Pseudomonas migulae | salt stress | tomato | Specifically, Pseudomonas migulae 8R6 can produce ACC deaminase and ameliorate salt stress in tomato -REF-. | YES
10027718 | Pseudomonas fluorescens | salinity | canola | Pseudomonas fluorescens helped canola plants endure salinity through the enrichment of proteins related to energy metabolism and cell division, especially related to amino acid metabolism and the tricarboxylic acid cycle -REF-. | YES
8891170 | Aspergillus terreus | salt tolerance | maize | Higher chlorophyll content a and b as well as carotenoids in rice and maize plans colonized with Aspergillus terreus spell out the induction of salt tolerance in the chloroplast by endophyte inoculation -REF-. | YES
10497963 | Pseudomonas putida | saline conditions | wheat | and Pseudomonas putida, improve wheat growth by modulating its morpho-physiological and biochemical attributes under saline conditions. | YES
10652019 | Streptomyces iranensis | osmotic stress | barley | We found that Streptomyces iranensis played a significant role in alleviating osmotic stress in barley seedlings. | YES
10652019 | Streptomyces iranensis | drought stress | barley | Additionally, based on the analysis of barley seedling phenotypes, the treatment with Streptomyces iranensis resulted in a significant improvement in plant growth recovery from drought stress Fig. | YES
9142908 | Trichoderma longibrachiatum | salt stress | maize | In this study, we observed a significant growth benefit of the synergistic association of maize with AM fungi and Trichoderma longibrachiatum under salt stress. | YES
10556533 | Achromobacter piechaudii | salinity | tomato | When tomato plants were exposed to salinity, Achromobacter piechaudii ARV8 improved P uptake and water balance, which had a favorable effect on the plants’ growth -REF-. | YES
10556533 | Pseudomonas plecoglossicida | salt stress | sunflower | Similar to our result it was reported in early studies that in marginalized agricultural systems, the rhizobacteria Bacillus licheniformis and Pseudomonas plecoglossicida support the growth of the sunflower plant under salt stress by promoting the expression of the antioxidant enzymes CAT, SOD, and GPX as well as the production of ACC deaminase ACCD and IAA -REF-. | YES
10785826 | Azospirillum brasilense | salinity | wheat | In addition, studies in different plant systems e.g., wheat, rice, Arabidopsis thaliana have reported that inoculation with PGPB such as Azospirillum brasilense and P. phytofirmans can promote growth and nutrient uptake under high salinity conditions -REF-; -REF-; -REF-; -REF-; -REF-. | YES
10785826 | Azospirillum brasilense | salt | rice | 3 Results 3.1 Azospirillum brasilense inoculation improves rice growth when grown under high salt concentrations We investigated if Azospirillum brasilense Sp245 could improve growth in rice plants when grown under high-salt concentrations 100 mM and 200 mM NaCl. | YES
10785826 | Azospirillum brasilense | salt stress | rice | In conclusion, our results show that Azospirillum brasilense inoculation improved growth in rice plants under salt stress. | YES
7820118 | Streptococcus sciuri | salinity | maize | Salt-stressed maize plants inoculated with halophilic Streptococcus sciuri SAT-17 isolate showed plant growth-promoting capability along with increased salinity tolerance and enhanced antioxidative defense -REF-. | YES
7820118 | Streptococcus sciuri | Salinity | Tomato | Streptococcus sciuri Protected Tomato and Rice Plants From Salinity Injury Plants experiencing salinity stress downregulate and shut down photosynthesis mainly due to stomatal closure -REF-; -REF-. | YES
7820118 | Streptococcus sciuri | salt stress | rice | Conclusion and Future Perspectives The results from the current study indicated that the isolated halotolerant bacteria Streptococcus sciuri ET101 plays a crucial role in protecting the tomato and rice plants against damaging effects of salt stress. | YES
11203645 | Lysinibacillus fusiformis | drought | bean | -REF- also reported that the synergistic application of Lysinibacillus fusiformis L. PLT16 and rhizobacterium strain ameliorates the negative effects of drought and salt stress on soybean and bean plants by regulating photosynthesis and the hormonal and antioxidant systems. | YES
8869415 | Actinobacteria | salt stress | alfalfa | Actinobacteria have been reported to promote plant growth under salt stress in tomato -REF-, -REF-, -REF-, -REF-, soybean -REF-, -REF-, wheat -REF-, -REF-, alfalfa -REF-, and dwarf glasswort -REF-. | YES
8869415 | Dermacoccus abyssi | Salt Stress | Tomato | Promotion of Tomato Growth by Dermacoccus abyssi MT1.1T under Salt Stress Condition The promotion of tomato growth by deep-sea Dermacoccus abyssi MT1.1T under 150 mM NaCl are shown in -REF- and -REF-. | YES
8869415 | Dermacoccus abyssi | salt stress | tomato | It is likely that Dermacoccus abyssi MT1.1T mitigated salt stress in tomato seedlings via accumulation of total soluble sugar. | YES
8551617 | Rahnella aquatilis | salt stress | Robinia pseudoacacia | Results Rahnella aquatilis JZ-GX1 Enhances Plant Tolerance to Salt Stress To test whether the JZ-GX1 strain has a protective effect on plants under salt stress conditions when in direct contact with the plant root system, we performed growth assays using Robinia pseudoacacia. | YES
9600683 | Pseudomonas | heat stress | wheat | Several other studies have reported a similar mechanism of heat stress tolerance in host plants mediated by thermotolerant endophytes and rhizobacteria, such as Bacillus amyloliquefaciens in rice -REF-, Pseudomonas putida strain AKMP7 in wheat -REF-, and Pseudomonas sp. | YES
9600683 | Bacillus amyloliquefaciens | heat stress | rice | Several other studies have reported a similar mechanism of heat stress tolerance in host plants mediated by thermotolerant endophytes and rhizobacteria, such as Bacillus amyloliquefaciens in rice -REF-, Pseudomonas putida strain AKMP7 in wheat -REF-, and Pseudomonas sp. | YES
9600683 | Enterobacter ludwigii | salt stress | rice | -REF- reported that bacterial endophytes Bacillus cereus, Micrococcus yunnanensis, Enterobacter tabaci, Curtobacterium oceanosedimentum, Curtobacterium luteum, and Enterobacter ludwigii isolated from halotolerant plants enhanced the salt stress tolerance of rice by altering defense enzymes, indole-3-acetic acid, abscisic acid ABA, and gibberellin levels. | YES
9600683 | Micrococcus yunnanensis | salt stress | rice | -REF- reported that bacterial endophytes Bacillus cereus, Micrococcus yunnanensis, Enterobacter tabaci, Curtobacterium oceanosedimentum, Curtobacterium luteum, and Enterobacter ludwigii isolated from halotolerant plants enhanced the salt stress tolerance of rice by altering defense enzymes, indole-3-acetic acid, abscisic acid ABA, and gibberellin levels. | YES
9600683 | Neocamarosporium chichastianum | drought stress | cucumber | -REF- reported that endophytic fungi Neocamarosporium goegapense, Neocamarosporium chichastianum, and Periconia macrospinosa isolated from a desert plant alleviated drought stress in wheat and cucumber by boosting antioxidant defense enzymes. | YES
10222584 | Pseudomonas proteolytica | cold stress | common bean | Different bacterial species, such as Pseudomonas fragi, P. chloropaphis, Pseudomonas fluorescens, Pseudomonas proteolytica, and Brevibacterium frigoritolerans, have been observed reducing freezing injuries and the content of lipid peroxides and ROS while stimulating some enzymatic activity superoxide dismutase, catalase, peroxidase, and glutathione reductase that could improve tolerance against cold stress in common bean seedlings -REF-. | YES
10454712 | Brevibacterium linens | salt stress | rice | The existence of the bacterium Brevibacterium linens RS16 restored photosynthetic properties and elevated salt tolerance in rice under salt stress -REF-. | YES
11465243 | Bacillus aryabhattai B8W22 | salt stress | rice | For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in wheat and peppers, and Bacillus aryabhattai B8W22 and Bacillus halotolerans MSR-H4 improved salt stress tolerance in rice and wheat -REF-; -REF-; -REF-; -REF-. | YES
11176432 | Bacillus | salt stress | Reaumuria | The Bacillus and Peribacillus strains screened in this study promote the growth of Reaumuria soongorica and enhance its salt stress tolerance by inducing systemic tolerance in the plant. | YES
11371581 | Bacillus subtilis | drought tolerance | Brassica campestris | Additionally, application of Bacillus subtilis GOT9 to Arabis thaliana and Brassica campestris enhances drought tolerance and survival by hyper-inducing various genes responsible for improved drought tolerance phenotypes -REF-. | YES
10652019 | Streptomyces iranensis | salinity stress | barley | The culture broth of Streptomyces iranensis also showed considerable activity for the growth of barley in alleviating salinity stress mediated by 100 mM NaCl Fig. | YES
9995459 | Pseudomonas | drought stress | alfalfa | This suggests that Pseudomonas and Novosphingobium have a high potential to enhance the adaptation of alfalfa to drought stress because of their high adaptability to drought environments and affinity for alfalfa roots. | YES
11371581 | Bacillus megaterium | drought tolerance | rice | Similarly, potted rice plants inoculated with Bacillus endophyticus PB3, Bacillus altitudinis PB46, and Bacillus megaterium PB50 exhibit significant drought tolerance, particularly with strain PB50, by upregulating genes such as LEA, SNAC1, HSP70, RAB16B, and bZIP23, along with increased osmolyte accumulation -REF-. | YES
11176432 | Peribacillus | salt stress | Reaumuria | The Bacillus and Peribacillus strains screened in this study promote the growth of Reaumuria soongorica and enhance its salt stress tolerance by inducing systemic tolerance in the plant. | YES
9415082 | Paenibacillus polymyxa | drought-stressed | pepper | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
9706007 | Azotobacter chroococcum | salinity stress | faba bean | EPS-producing bacteria Azotobacter chroococcum and melatonin alleviated salinity stress on faba bean plants by decreasing Cl− concentrations. | YES
7820118 | Streptococcus sciuri | salinity stress | Tomato | Streptococcus sciuri Protected Tomato and Rice Plants From Salinity Injury Plants experiencing salinity stress downregulate and shut down photosynthesis mainly due to stomatal closure -REF-; -REF-. | YES
11465243 | Bacillus licheniformis | drought tolerance | wheat | For example, Bacillus paramycoides DT-85 and Bacillus licheniformis K11 were found to enhance drought tolerance in wheat and peppers, and Bacillus aryabhattai B8W22 and Bacillus halotolerans MSR-H4 improved salt stress tolerance in rice and wheat -REF-; -REF-; -REF-; -REF-. | YES
9121094 | Bacillus atrophaeus | salt | maize | In this investigation, Bacillus atrophaeus WZYH01 and Planococcus soli WZYH02 were solubilized phosphorus strains, which could help maize overcome nutrient deficiency and hormone imbalance under salt conditions -REF-. | YES
10255858 | Novosphingobium | salt stress | Citrus macrophylla | The damage caused by salt stress was reduced in Citrus macrophylla inoculated with Pseudomonas putida KT2440 or Novosphingobium sp. | YES
7917748 | Bradyrhizobium | salt stress | soybean | It has a capacity to induce tolerance against drought in maize -REF- and rice -REF-.Bradyrhizobium can alleviate salt stress, promoting symbiosis in soybean -REF-. | YES
9266936 | Bacillus | saline conditions | maize | A salt-tolerant Bacillus strain that promotes bacterial growth in the rhizosphere improved maize growth and development under drought and saline conditions -REF-. | YES
8533330 | Microbacterium | salt stress | Arabidopsis thaliana | Trials on Arabidopsis thaliana showed that inoculation with Bacillus -REF-, Enterobacter -REF-, and Athrobacter, Pantoea, and Microbacterium -REF- isolates from various desert plants showed improved resistance to salt stress and improved growth compared to non-inoculated controls. | YES
9495777 | Pseudomonas putida | water deficit | Hyoscyamus niger | -REF- have revealed that the inoculation of Hyoscyamus niger plants with rhizobacterial strains Pseudomonas fluorescens and Pseudomonas putida remarkably improved the production of tropane alkaloid in plants under water deficit stress, resulting in contributing to their stress resistance. | YES
11371581 | Pseudomonas putida | drought tolerance | chickpea | Inoculation with Pseudomonas putida RA in chickpea plants under drought confers drought tolerance by differentially expressing genes involved in transcription activation DREB1A and NAC1, stress response LEA and DHN, reactive oxygen species ROS scavenging CAT, APX, and GST, ET biosynthesis ACO and ACS, salicylic acid PR1, and jasmonate MYC2 signaling -REF-. | YES
9518148 | Micrococcus yunnanensis | salt tolerance | rice | Halotolerant endophytic strains viz., Curtobacterium luteum SAK2, Curtobacterium oceanosedimentum SAK1, Bacillus cereus SA1, Enterobacter tabaci SA3, Enterobacter ludwigii SAK5, and Micrococcus yunnanensis SA2 resulted in a significant enhancement in growth and dry matter production of rice by increasing salt tolerance -REF-. | YES
8533330 | Periconia macrospinosa | salt tolerance | cucumbers | and Periconia macrospinosa from the Hoz-e Soltan Salt Lake were shown to increase salt tolerance in cucumbers and tomatoes -REF-. | YES
11371581 | Arthrobacter protophormiae | salinity | wheat | In wheat, PGPR strains such as Arthrobacter protophormiae SA3, Bacillus subtilis LDR2, and Dietzia natronolimnaea STR1 enhance drought and salinity tolerance by modifying the expression of genes and transcription factors related to the ET signaling pathway -REF-. | YES
8760038 | Paenibacillus polymyxa CR1 | Desiccation | Arabidopsis | According to the study of -REF-, inoculation of Arabidopsis and soybean with Paenibacillus polymyxa CR1 induced the expression of the drought-responsive genes Response to Desiccation 29A RD29A and Response to Desiccation 29B RD29B and improved drought resistance. | YES
9712829 | Pseudomonas | salt stress | maize | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
9415082 | Paenibacillus polymyxa | drought tolerance | Arabidopsis thaliana | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
11176432 | Bacillus flexus | salt stress | Suaeda salsa | Studies have shown that Bacillus flexus KLBMP 4941 promotes the growth of the halophyte Suaeda salsa under salt stress by regulating the Na+/K+ homeostasis -REF-. | YES
9818225 | Pseudomonas stutzeri A1501 | salt stress | rice | Similarly, rice seedlings inoculated with Pseudomonas stutzeri A1501 alleviated heavy metals and salt stress. | YES
8184954 | Curtobacterium | drought tolerance | wheat | However, as the action of these isolates may be line-specific, it may be prudent to investigate the effects of both isolates on other wheat lines under drought conditions.Curtobacterium and Arthrobacter isolates are promising candidates for commercial application to increased drought tolerance under a range of conditions. | YES
9415082 | Arthrobacter | drought-stressed | tomato | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
11116649 | Sinorhizobium meliloti | salt tolerance | alfalfa | For instance, the IAA-overproducing strain Sinorhizobium meliloti has been found to enhancive salt tolerance of alfalfa in saline soils by stimulating root proliferation -REF-. | YES
9415082 | Arthrobacter | drought-stressed | pepper | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
9415082 | Paenibacillus polymyxa | drought-stressed | tomato | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
11176432 | Enterobacter cancerogenus | salinity | rice | For example, inoculation with Azospirillum and Azotobacter species significantly promoted growth and enhanced salt tolerance of cherry tomato under different salinity levels -REF-, and the addition of Enterobacter cancerogenus JY65 promoted the growth of rice under NaCl stress with significantly increased plant biomass, plant height, and root length -REF-. | YES
10785826 | Azospirillum brasilense | salt stress | rice | Overall, these findings signify that regulation of phytohormone pathways in rice roots is essential for maintaining the beneficial association with Azospirillum brasilense and improving plant growth under salt stress. | YES
8225083 | Bacillus amyloliquefaciens | heat stress | wheat | Similarly, inoculation of wheat seedlings with Bacillus amyloliquefaciens, Azospirillum brasilense, Bacillus safensis, or Pseudomonas brassicacearum reduced the generation of reactive oxygen species and adjust wheat seedlings metabolism to enhance plant resistance to heat stress 40–45 °C -REF-, -REF-, -REF-. | YES
9712829 | Pseudomonas | salt stress | sunflower | Arabidopsis up to 200 mM NaCl -REF-, maize up to 150 mM NaCl -REF-, wheat up to 200 mM NaCl -REF-, cotton 0.35 % NaCl -REF-, cucumber 100 mM NaCl -REF-, peanut 100 mM NaCl -REF-, soybean 100 mM NaCl -REF-, -REF-, tomato up to 185 mM NaCl -REF-, sunflower EC up to 15.9 dS/m -REF-, oats and barley EC up to 9.4 dS/m -REF- have shown elevated growth under salt stress upon inoculation with Pseudomonas spp. | YES
7646561 | Paenibacillus | drought tolerance | wheat | Moreover, drought tolerance occurs on wheat root colonization with Paenibacillus spp. | YES
9415082 | Arthrobacter | drought tolerance | Arabidopsis thaliana | In drought-stressed plants, it has been shown that PGPR such as Paenibacillus polymyxa, Achromobacter piechaudi, Azospirillum brasilense, Pseudomonas sp., Burkholderia, Arthrobacter, Microccocus luteus, and Bacillus enhanced the drought tolerance of Arabidopsis thaliana -REF-, pepper, tomato -REF-, -REF-, wheat -REF- and maize -REF- plants. | YES
7917748 | Azotobacter | drought stress | maize | In peanut, it helps to alleviate the negative effects of water restriction -REF-.Azotobacter isolated from semi-arid regions is capable of alleviating drought stress after inoculation in maize -REF-. | YES
7923115 | Bacillus amyloliquefaciens | osmotic stress | rice | Similarly, rice seedlings treated with Bacillus amyloliquefaciens and grown under osmotic stress exhibited induced tolerance through an induction of stress-responsive genes, such as DHN and LEA -REF-. | YES
9610570 | Burkholderia phytofirmans | water stress | Chenopodium quinoa | Reports on the endophytic bacteria Burkholderia phytofirmans showed that water stress was alleviated in the salt-stressed Chenopodium quinoa plants -REF-. | YES
8533330 | Enterobacter | salt stress | Arabidopsis thaliana | Trials on Arabidopsis thaliana showed that inoculation with Bacillus -REF-, Enterobacter -REF-, and Athrobacter, Pantoea, and Microbacterium -REF- isolates from various desert plants showed improved resistance to salt stress and improved growth compared to non-inoculated controls. | YES
