9694901 | Rhizobium | Heat | Phaseolus vulgaris | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
10374332 | Pseudomonas fluorescens | Heat | Triticum aestivum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | Heat | Cajanus cajan | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | Heat | Cajanus cajan | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | Heat | Glycine max | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | Heat | Triticum aestivum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | Heat | Cajanus cajan | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | Heat | Solanum lycopersicum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Serratia liquefaciens | Heat | Triticum aestivum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Serratia liquefaciens | Heat | Glycine max | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas fluorescens | Heat | Cajanus cajan | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | Heat | Triticum aestivum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas fluorescens | Heat | Glycine max | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus cereus | Heat | Solanum lycopersicum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | Heat | Triticum aestivum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas putida | Heat | Glycine max | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas | Heat | Solanum lycopersicum | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Pseudomonas | Heat | Glycine max | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
10374332 | Bacillus tequilensis | Heat | Glycine max | Inoculation with Bacillus cereus, Pseudomonas spp., Serratia liquefaciens, Pseudomonas fluorescens, Pseudomonas putida, and Bacillus tequilensis SSB07 has alleviated heat stress in several crops like tomato, pigeon pea wheat and soybean -REF-. | NO
9296610 | Klebsiella | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Pseudomonas | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Enterobacter | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Ochrobactrum | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | Salt | Oryza sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Bacillus | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Klebsiella | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | Salt | Medicago sativa | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Cupriavidus | Salt | Triticum aestivum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | Salt | Arabidopsis | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
9296610 | Isoptericola | Salt | Solanum lycopersicum | Bacterial strains belonging to the genera Pseudomonas, Bacillus, Klebsiella, Cupriavidus, Ochrobactrum, Isoptericola, and Enterobacter were isolated and showed to promote growth of multiple plant species under saline conditions, including model plant species arabidopsis as well as crops like wheat Triticum aestivum, rice Oryza sativa, alfalfa Medicago sativa and tomato -REF-, -REF-. | NO
7704454 | Pseudomonas syringae | Heat | Arabidopsis | Heat stress also affects Arabidopsis immunity, and it was shown that both virulent and avirulent Pseudomonas syringae pv. | NO
11036750 | Azospirillum brasilense | Drought | Triticum aestivum | Significant effects on important physiological processes and enzymatic activity are observed in wheat when biochar, t-ZR, and Azospirillum brasilense are applied, particularly when drought stress is present -REF-. | NO
9706007 | Cellulosilyticum | Drought | Glycine max | Different Rhizobium species such as R. strain R1, Rhizobium tropici R2, R. cellulosilyticum R3, Rhizobium taibaishanense R4, and Ensifer meliloti R5 strains that were isolated from the rhizosphere of Bambara groundnut plants to enhanced seed germination of soybean PAN 1532 R plants when exposed to drought. | NO
8426455 | Actinobacteria | Drought | Zizania | This study demonstrates that drought-tolerant wild rice Oryza longistaminata made aboveground–belowground patterns to overcome drought stress, including enrichment of Actinobacteria in belowground compartments, highlights the important role of the stochastic assembly process in governing the microbial community assembly, and points out the important role of drought-negative response taxa in maintaining belowground microbial community stability under drought disturbance, and have implications relevant to drought protection strategies using root-associated microbiota. | YES
7691295 | Achromobacter piechaudii | Salt | Solanum lycopersicum | ACC deaminase producing Achromobacter piechaudii ARV8 conferred IST against salt in Solanum lycopersicum -REF-. | YES
6987256 | Pantoea alhagi | Salt | Oryza sativa | Therefore, we speculate that the ability of Pantoea alhagi NX-11 to enhance the salt tolerance of rice seedlings is related to the EPSs it produces. | YES
8001772 | Variovorax paradoxus | Drought | Solanum lycopersicum | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable -REF-. | YES
9608499 | Bacillus | Salt | Triticum aestivum | Salt Stress Alleviation and Plant Growth Promotion by Bacillus Strains Seven days’ wheat seedlings were transplanted into pots containing sterilised soil of equal size placed in a greenhouse. | YES
10623132 | Azospirillum brasilense | Drought | Glycine max | When CKs zeatin riboside were exogenously applied, they restored the germination potential in Glycine max seeds -REF-; -REF-.The inoculation of Azospirillum brasilense in soybean mitigates drought stress by inducing the production of endogenous phytohormones, for example CKs. | YES
6780275 | Bacillus | Cold | Triticum aestivum | Effect of Bacterial Isolates on Photosynthetic Potential of Plants Under Cold Stress The photosynthetic activity and stomatal conductance measured for wheat plants under cold stress and at regular temperature under four bacterial treatments showed that photosynthesis rate was significantly enhanced in plants treated with Bacillus sp. | YES
9690568 | Devosia | Salt | Canola | In this research two biostimulants; a type of plant secondary metabolite flavonoids and a microbe-based material CFS: Cell-Free Supernatant containing active compounds secreted by a novel bacterial strain isolated from Amphecarpaea bracteata root nodules Devosia sp - SL43, have been utilized to improve the growth and stress resistance of two major oil seed crops; canola and soybean, under optimal and salt stress conditions. | YES
10398642 | Pseudomonas argentinensis | Drought | Arabidopsis | SA190 enhances drought tolerance of Arabidopsis and Medicago sativa Pseudomonas argentinensis strain SA190 is a plant endophytic bacterium that was previously isolated from root nodules of the desert plant I. argentea Lafi et al, -REF-. | YES
10282843 | Trichoderma longibrachiatum | Heat | Lanzhou lily | Discussion TKs from Trichoderma longibrachiatum SMF2 enhanced tolerance to HS on Lanzhou lily HS is becoming one of the major limiting factors for food security due to global warming, so it is necessary to take effective measures to improve plant thermotolerance. | YES
11284086 | Azotobacter chroococcum | Salt | Zea mays | Similarly, applying Azospirillum lipoferum or Azotobacter chroococcum to maize plants enhanced the activity of CAT and POX POD, showcasing their positive regulatory roles in salinity tolerance -REF-. | YES
9712829 | Bacillus oryzicola | Salt | Arabidopsis | -REF- demonstrated a similar conclusion that the SOS pathway is necessary for Bacillus oryzicola YC7007-induced Arabidopsis tolerance to salt stress. | YES
10652019 | Streptomyces iranensis | Drought | Hordeum vulgare | Results Abiotic stress-mitigating activities exhibited by Streptomyces iranensis The promotion of barley growth induced by Streptomyces iranensis was tested under multiple abiotic stresses including osmotic, salinity and drought. | YES
11176432 | Bacillaceae | Salt | Reaumuria | A schematic diagram summarizing the mechanisms by which Bacillaceae promotes the growth of Reaumuria soongorica seedlings and enhances resistance to salt stress is presented in -REF-. | YES
11233480 | Crinivirus | Drought | Solanum lycopersicum | -REF- showed that in tomato plants, tolerance to drought was achieved by TYLCV and Crinivirus RNA virus Tomato chlorosis virus ToCV mediated induced expression of cellulose synthase genes Ces-A2, Csl-D3,2, and Csl-D3,1 Mirzayeva et al. | YES
8426455 | Actinobacteria | Drought | Oryza longistaminata | This study demonstrates that drought-tolerant wild rice Oryza longistaminata made aboveground–belowground patterns to overcome drought stress, including enrichment of Actinobacteria in belowground compartments, highlights the important role of the stochastic assembly process in governing the microbial community assembly, and points out the important role of drought-negative response taxa in maintaining belowground microbial community stability under drought disturbance, and have implications relevant to drought protection strategies using root-associated microbiota. | YES
8071382 | Rhizoglomus clarum | Drought | Solanum lycopersicum | Rhizoglomus clarum encouraged higher growth in colonized tomato plants aerial biomass than in root biomass under drought stress -REF- because AM colonization causes a proportionally greater allocation of carbohydrates to the shoot than to the root tissues -REF-. | YES
7933552 | Aspergillus | Heat | Lolium perenne | According to our results, we propose four important Aspergillus aculeatus-mediated mechanisms of perennial ryegrass response to drought and heat stress: 1 Aspergillus aculeatus can regulate hormone homeostasis, 2 reduced the damage to photosynthetic system of plants induced by drought and heat stress, 3 reduced oxidative damage of plants induced by drought and heat stress, 4 altered gene expression levels related to drought and heat stress. | YES
7933552 | Aspergillus | Drought | Lolium perenne | According to our results, we propose four important Aspergillus aculeatus-mediated mechanisms of perennial ryegrass response to drought and heat stress: 1 Aspergillus aculeatus can regulate hormone homeostasis, 2 reduced the damage to photosynthetic system of plants induced by drought and heat stress, 3 reduced oxidative damage of plants induced by drought and heat stress, 4 altered gene expression levels related to drought and heat stress. | YES
7933552 | Aspergillus aculeatus | Heat | Lolium perenne | According to our results, we propose four important Aspergillus aculeatus-mediated mechanisms of perennial ryegrass response to drought and heat stress: 1 Aspergillus aculeatus can regulate hormone homeostasis, 2 reduced the damage to photosynthetic system of plants induced by drought and heat stress, 3 reduced oxidative damage of plants induced by drought and heat stress, 4 altered gene expression levels related to drought and heat stress. | YES
7933552 | Aspergillus aculeatus | Drought | Lolium perenne | According to our results, we propose four important Aspergillus aculeatus-mediated mechanisms of perennial ryegrass response to drought and heat stress: 1 Aspergillus aculeatus can regulate hormone homeostasis, 2 reduced the damage to photosynthetic system of plants induced by drought and heat stress, 3 reduced oxidative damage of plants induced by drought and heat stress, 4 altered gene expression levels related to drought and heat stress. | YES
9608499 | Bacillus | Salt | Triticum aestivum | Bacillus Strains Enhance Plant Growth under Saline Conditions In the current study plant growth and root morphological parameters were noticed to be significantly increased in wheat plant inoculated with bacteria under salt stress as shown in -REF- and -REF-. | YES
10534068 | Nocardioides | Salt | Triticum aestivum | The transcript profiles indicate involvement of ABA as predominantly functioning pathway for Nocardioides sp.–mediated salt stress management in early wheat. | YES
7155768 | Bacillus licheniformis | Drought | Zea mays | The present study was performed to understand the mechanisms of Bacillus licheniformis FMCH001 in inducing drought resilience in maize by studying growth, ecophysiology, and metabolic changes during progressive drought and recovery. | YES
11284086 | Curtobacterium albidum | Salt | Oryza sativa | Application of Curtobacterium albidum strain SRV4 in rice under salinity showed the higher activity of antioxidant enzymes, including CAT and SOD, and provided tolerance to salinity compared to non-inoculated plants -REF-. | YES
9600683 | Azospirillum brasilense | Drought | Arabidopsis thaliana | Azospirillum brasilense improves drought tolerance in Arabidopsis thaliana by increasing ABA levels -REF-. | YES
8869449 | Trichoderma longibrachiatum | Salt | Triticum aestivum | -REF- demonstrated that the PGPF Trichoderma longibrachiatum strain T6 induced the tolerance of wheat seedlings to salt stress through upregulation of SOD, CAT and POX genes, improving the antioxidant defence machinery. | YES
7691295 | Phyllobacterium brassicacearum | Salt | Arabidopsis thaliana | PGPB Phyllobacterium brassicacearum STM196 improved osmotic stress tolerance in Arabidopsis thaliana by increasing ABA content, thus inducing a reduction in leaf transpiration -REF-. | YES
8869449 | Bacillus cereus | Drought | Lycopersicon esculentum | In Lycopersicon esculentum tomato plants treated by a Bacillus cereus AR156 supernatant, an appreciable enhancement to drought stress was reported by Wang et al. | YES
7646561 | Paenibacillus polymyxa | Drought | Acacia abyssinica | Among single inoculants, Pseudomonas fluorescens and Paenibacillus polymyxa showed the maximum Acacia abyssinica performance under drought conditions. | YES
9814130 | Bacillus proteolyticus | Salt | Phaseolus vulgaris | Considering the two experimental set ups in normal condition and salinity stress, the effect of Bacillus proteolyticus Cyn1 and the consortium of both Cyn1 and Cyn2 was found to be best improving the growth of the common bean. | YES
10027718 | Pseudomonas alcaliphila | Salt | Oryza sativa | However, there is little knowledges of how the Pseudomonas alcaliphila strain Ej2 help rice plants alleviate salt stress. | YES
7933552 | Aspergillus aculeatus | Heat | Lolium perenne | Here, the protective effects of Aspergillus aculeatus on OJIP fluorescence transient of perennial ryegrass subjected to heat stress are shown in -REF-, -REF-. | YES
8071382 | Rhizophagus intraradices | Drought | Allium cepa | Rhizophagus intraradices colonization under varied drought stress intensities resulted in increased N and P levels in both onion and tomato plants, wherein the former host plant was able to survive due to less negative water potential. | YES
6780275 | Bacillus | Cold | Triticum aestivum | The inoculated strains CJCL2 and RJGP41 were also able to upregulate the expression levels of genes responsible for producing important plant growth hormones such cytokinin CKX2, auxin ARF, alpha expansin exPA1, and ethylene ERF under cold stress whereas all three Bacillus strains showed up-regulation in the genes of these phytohormones at optimum temperature for wheat growth. | YES
