9694901 | Rhizobium | High temperature | common bean | For example, co-inoculation of a common bean with Rhizobium tropici and two strains of Paenibacillus polymyxa more effectively increased nitrogen content and promoted plant growth than inoculation with Rhizobium only especially in drought conditions -REF-. | NO
7077179 | Miuraea persicae | water deficit | Cauliflower | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7077179 | caulimovirus | water deficit | Cauliflower | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7077179 | luteovirus | water deficit | Turnip | In another study, when a water deficit was applied to Arabidopsis thaliana Col-0 infected with Turnip yellows virus TuYV, a phloem-restricted luteovirus, transmission efficiency was reduced by 50%, most probably through alteration of feeding behaviour of the vector -REF-. | NO
7077179 | Miuraea persicae | water-stressed | Arabis thaliana | Indeed, while TuYV within-host accumulation was not altered by drought, virus load was reduced drastically in Miuraea persicae vectors feeding on water-stressed TuYV-infected Arabis thaliana plants -REF-. | NO
7704454 | Botrytis cinerea | salt | Arabidopsis | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7704454 | Botrytis | drought | Arabidopsis | Conversely, drought-stressed tomato are less susceptible to Botrytis infection -REF-, whereas drought stress in Arabidopsis plants resulted in an increased Botrytis growth rate in an accession-dependent manner -REF-. | NO
7704454 | Phytophthora | saline conditions | chrysanthemum | On the other hand, salinity was shown to increase susceptibility in certain crops to particular pathogens as exemplified by tomato and chrysanthemum plants which are less resistant toward Phytophthora infection when grown under saline conditions -REF-. | NO
7704454 | Alternaria brassicicola | salt | Bernardia cinerea | We observed that plants pre-treated with salt, despite accumulating more SA after fungal infection, are more susceptible against both the hemibiotrophic bacterium Pto DC3000 and the necrotrophic fungi Bernardia cinerea and Alternaria brassicicola -REF-, making SA an unlikely cause for this phenotype. | NO
10747270 | Uredo maydis | drought | Crinum graminicola | These are strongly accumulated after infection by Crinum graminicola, Uredo maydis, Fusarium graminearum and other pathogens, and after abiotic stresses such as drought. | NO
10747270 | Fusarium graminearum | drought | Crinum graminicola | These are strongly accumulated after infection by Crinum graminicola, Uredo maydis, Fusarium graminearum and other pathogens, and after abiotic stresses such as drought. | NO
7704454 | Botrytis cinerea | salinity | tomato | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7704454 | Botrytis cinerea | salt | tomato | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7077179 | Miuraea persicae | water deficit | Brassica rapa | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
8875824 | Phytophthora cinnamomi | cold | cork oak | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
8875824 | Phytophthora cinnamomi | heat | cork oak | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
10578444 | Phytophthora sojae | drought | soybean | Responsiveness to various abiotic stresses like cold, drought and salt, as well as biotic stress like infection with the fungal pathogen Phytophthora sojae has been demonstrated by GLRs in soybean -REF-. | NO
9875070 | Ralstonia solanacearum | heat | tomato | Besides protein-coding genes, a large number of non-coding RNAs ncRNAs have been recently identified under various stress conditions in tomato, such as 70 miRNAs induced by Phytophthora infestans infection, 790 miRNAs in pollen under heat stress conditions, and 23 lncRNAs induced after inoculated with Ralstonia solanacearum -REF-; -REF-; -REF-. | NO
9875070 | Phytophthora infestans | heat | tomato | Besides protein-coding genes, a large number of non-coding RNAs ncRNAs have been recently identified under various stress conditions in tomato, such as 70 miRNAs induced by Phytophthora infestans infection, 790 miRNAs in pollen under heat stress conditions, and 23 lncRNAs induced after inoculated with Ralstonia solanacearum -REF-; -REF-; -REF-. | NO
7704454 | Botrytis cinerea | salinity | Arabidopsis | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7704454 | Phytophthora | salinity | tomato | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7704454 | Phytophthora | salt | tomato | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7077179 | potyvirus | water deficit | Brassica rapa | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
10578444 | Phytophthora sojae | salt | soybean | Responsiveness to various abiotic stresses like cold, drought and salt, as well as biotic stress like infection with the fungal pathogen Phytophthora sojae has been demonstrated by GLRs in soybean -REF-. | NO
7760370 | Aspergillus carbonarius | drought | sesame | Thermography has been used to detect a variety of biotic and abiotic stresses, such as Aspergillus carbonarius infection in grapes -REF-, drought stress in maize -REF-, apple scab disease -REF-, and drought stress in sesame plants -REF-. | NO
7077179 | Miuraea persicae | drought | Arabis thaliana | Indeed, while TuYV within-host accumulation was not altered by drought, virus load was reduced drastically in Miuraea persicae vectors feeding on water-stressed TuYV-infected Arabis thaliana plants -REF-. | NO
11233480 | Potyvirus | drought | Turnip | showed that the level of SA is induced in the transgenic Arabis thaliana plants overexpressing Potyvirus Turnip mosaic virus TuMV 6K2 protein and in Nicotiana benthamiana plants infected with a viral construct overexpressing TuMV 6K2 protein under drought condition Prakash et al. | NO
7704454 | Botrytis | drought-stressed | Arabidopsis | Conversely, drought-stressed tomato are less susceptible to Botrytis infection -REF-, whereas drought stress in Arabidopsis plants resulted in an increased Botrytis growth rate in an accession-dependent manner -REF-. | NO
7704454 | Phytophthora | salinity | Arabidopsis | For instance, tomato and Arabidopsis grown under high salinity conditions displayed an increased susceptibility to infection with obligate biotrophic oomycete Phytophthora spp -REF-; -REF-, whereas tomato resistance toward infection with the necrotrophic fungus Botrytis cinerea was not affected under salt stress -REF-. | NO
7704454 | Botrytis | drought-stressed | tomato | Conversely, drought-stressed tomato are less susceptible to Botrytis infection -REF-, whereas drought stress in Arabidopsis plants resulted in an increased Botrytis growth rate in an accession-dependent manner -REF-. | NO
7077179 | potyvirus | water deficit | Cauliflower | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7704454 | Botrytis | drought | tomato | Conversely, drought-stressed tomato are less susceptible to Botrytis infection -REF-, whereas drought stress in Arabidopsis plants resulted in an increased Botrytis growth rate in an accession-dependent manner -REF-. | NO
8875824 | Phytophthora cinnamomi | drought | cork oak | Candidate stress-related genes were selected from the analysis of publicly available expression datasets obtained for cork oak tissues in response to abiotic drought, heat and cold, salt and biotic stress Phytophthora cinnamomi infection. | NO
10573068 | Verticillium | salt | dahlia | The GbRLK promoter was fused to the β-glucuronidase GUS gene and histochemical staining indicated induction of GUS levels upon exposure to ABA, PEG, salt, and Verticillium dahlia infection. | NO
7077179 | potyvirus | water deficit | Turnip | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
7760370 | Aspergillus carbonarius | drought | grapes | Thermography has been used to detect a variety of biotic and abiotic stresses, such as Aspergillus carbonarius infection in grapes -REF-, drought stress in maize -REF-, apple scab disease -REF-, and drought stress in sesame plants -REF-. | NO
7077179 | caulimovirus | water deficit | Turnip | The dramatic influence of a water deficit applied to Brassica rapa infected source plants on the transmission efficiency of two unrelated virus species Cauliflower mosaic virus; CaMV; caulimovirus and Turnip mosaic virus; TuMV; potyvirus, transmitted in a non-circulative way by Miuraea persicae, was reported -REF-. | NO
10436337 | Botrytis cinerea | drought | tomato | tomato DC3000 PstDC3000 and the necrotrophic fungus Botrytis cinerea, by controlling SA and JA levels, as a negative regulator in response to salinity stress and for drought stress resistance responses via ABA and NO regulation Pham and Desikan, -REF-. | NO
9030523 | Botrytis cinerea | salt | tomato | Similarly, tomato SlAIM1 RNA interference plants with reduced abscisic acid-induced myb1 SlAIM1 gene expression were shown to have increased susceptibility to the necrotrophic fungus Botrytis cinerea and increased sensitivity to salt and oxidative stress -REF-, suggesting that SlAIM1 integrates plant responses to pathogens and abiotic stresses by modulating responses to ABA. | NO
11476557 | Botrytis cinerea | water stress | grapevine | The analysis of two genotypes, drought-sensitive Chardonnay CHR and drought-tolerant Meski MSK, indicated that the oxidative degradation of PAs is involved not only in the tolerance of grapevine to water stress, but also in the immune response to Botrytis cinerea -REF-. | NO
7343901 | Entamoeba coli | low temperature | tobacco | The AtMT2 promoter was selected since it represents a general abiotic stress promoter and over-expression of MTs in various model systems like Arabidopsis, tobacco, yeast and Entamoeba coli established its functional role in homeostasis and tolerance to heavy metal ions, high salinity, drought, low temperature, heavy metal ions, ABA, and ethylene. | NO
9608499 | Bacillus | salt | wheat | Furthermore, all the selected Bacillus strains NMCN1, LLCG23 and FZB42 were observed to have a high potential of wheat plant growth promotion under normal conditions, however, under salt stress conditions 200 mmol high reduction in plant growth promoting potential of FZB42 strain was observed for the first time as compared to other halophilic strains NMCN1 and LLCG23. | NO
7343901 | Entamoeba coli | drought | tobacco | The AtMT2 promoter was selected since it represents a general abiotic stress promoter and over-expression of MTs in various model systems like Arabidopsis, tobacco, yeast and Entamoeba coli established its functional role in homeostasis and tolerance to heavy metal ions, high salinity, drought, low temperature, heavy metal ions, ABA, and ethylene. | NO
8076752 | Trichoderma | drought | rice | For this, some of the significant candidate genes -REF- contributing to drought tolerance and exclusively expressed in Trichoderma harzianum-treated and drought-stressed rice plants were selected and primers were designed PrimerQuest tool, Integrated DNA Technologies. | NO
11508032 | endophytic bacterium | salt | maize | P. Simplex M1 was selected from maize roots and its role as an endophytic bacterium in promoting plant growth and alleviating salt alkali stress is worth studying. | NO
7343901 | Entamoeba coli | low temperature | Arabidopsis | The AtMT2 promoter was selected since it represents a general abiotic stress promoter and over-expression of MTs in various model systems like Arabidopsis, tobacco, yeast and Entamoeba coli established its functional role in homeostasis and tolerance to heavy metal ions, high salinity, drought, low temperature, heavy metal ions, ABA, and ethylene. | NO
7343901 | Entamoeba coli | salinity | Arabidopsis | The AtMT2 promoter was selected since it represents a general abiotic stress promoter and over-expression of MTs in various model systems like Arabidopsis, tobacco, yeast and Entamoeba coli established its functional role in homeostasis and tolerance to heavy metal ions, high salinity, drought, low temperature, heavy metal ions, ABA, and ethylene. | NO
7343901 | Entamoeba coli | salinity | tobacco | The AtMT2 promoter was selected since it represents a general abiotic stress promoter and over-expression of MTs in various model systems like Arabidopsis, tobacco, yeast and Entamoeba coli established its functional role in homeostasis and tolerance to heavy metal ions, high salinity, drought, low temperature, heavy metal ions, ABA, and ethylene. | NO
9142908 | Trichoderma longibrachiatum | saline conditions | maize | Preparation of the Trichoderma longibrachiatum MF Inoculant The Trichoderma longibrachiatum MF was isolated from the soil of a maize plant growing in salt contaminated soil, which had acclimatized to saline conditions prior. | NO
8869415 | Dermacoccus abyssi | salt | tomato | The proline content of Dermacoccus abyssi MT1.1T inoculated tomato showed lower than non-inoculated tomato under salt stress, but significantly higher than non-inoculated tomato without salt stress -REF-B. | NO
10823023 | Streptomyces | drought | tomato | The only two WRKY-related studies that met the inclusion criteria for the meta-analysis showed that under drought stress conditions, in tomato inoculated with Streptomyces strains and Bacillus megaterium, WRKY70, SlWRKY75, and SlWRKY45 were downregulated -REF-; -REF-. | NO
10823023 | Bacillus megaterium | drought | tomato | The only two WRKY-related studies that met the inclusion criteria for the meta-analysis showed that under drought stress conditions, in tomato inoculated with Streptomyces strains and Bacillus megaterium, WRKY70, SlWRKY75, and SlWRKY45 were downregulated -REF-; -REF-. | NO
11104533 | Fusarium falciforme | salinity | tomato | Four fungal endophytes Cephalotrichum cylindricum, Fusarium equiseti, Fusarium falciforme and Aspergilus puniceus were tested under greenhouse conditions for their ability to induce salinity tolerance in tomato seedlings. | NO
9268828 | Bacillus safensis | salt | maize | Untreated maize plants and those treated with Bacillus safensis PM22 were tested for the generation of oxidative stress biomarkers during salt stress. | NO
9142908 | Trichoderma longibrachiatum | salinity | Zea | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
9142908 | Glomus | salinity | Zea | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
9142908 | Glomus | salt | maize | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
9142908 | Trichoderma longibrachiatum | salt | maize | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
9142908 | Glomus | salinity | maize | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
9142908 | Trichoderma longibrachiatum | salinity | maize | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
11104533 | Fusarium equiseti | salinity | tomato | Four fungal endophytes Cephalotrichum cylindricum, Fusarium equiseti, Fusarium falciforme and Aspergilus puniceus were tested under greenhouse conditions for their ability to induce salinity tolerance in tomato seedlings. | NO
10652019 | Streptomyces iranensis | salinity | barley | Results Abiotic stress-mitigating activities exhibited by Streptomyces iranensis The promotion of barley growth induced by Streptomyces iranensis was tested under multiple abiotic stresses including osmotic, salinity and drought. | NO
9142908 | Trichoderma longibrachiatum | salt | Zea | Here, single, dual-inoculated Trichoderma longibrachiatum MF, AM fungal community or Glomus sp., and non-inoculated maize Zea may L. were subjected to different salinity levels 0, 75, 150, and 225 mM NaCl to test the synergistic effects of dual inoculants on maize plants in different salt stress conditions. | NO
10255858 | Pantoea alhagi | salt | rice | The exopolysaccharide-deficient Pantoea alhagi ΔpspD strain and the WT Pantoea alhagi NX-11 were tested in hydroponic experiments to determine their ability to induce rice salt resistance. | NO
8228783 | Verticillium | salinity | dahlia | In this study, two detrimental pathogens, Verticillium dahlia cause potato early drying and Alternaria solani causal agent of early blight were studied for their interaction with salinity. | NO
8228783 | Alternaria solani | salinity | dahlia | In this study, two detrimental pathogens, Verticillium dahlia cause potato early drying and Alternaria solani causal agent of early blight were studied for their interaction with salinity. | NO
9121094 | Planococcus soli | salt | Zea mays | The effects of Bacillus atrophaeus WZYH01 YL07 and Planococcus soli WZYH02 YL10 on the growth and development of maize Zea mays L. under salt stress ECe = 5.9 dS/m were further studied. | NO
9121094 | Planococcus soli | salt | maize | The effects of Bacillus atrophaeus WZYH01 YL07 and Planococcus soli WZYH02 YL10 on the growth and development of maize Zea mays L. under salt stress ECe = 5.9 dS/m were further studied. | NO
9733834 | Saccharomyces cerevisiae | drought | Phoenix dactylifera | The function of date palm salinity responsive genes was studied by -REF-, who showed that the expression of the Phoenix dactylifera metallothionein gene PdMT2A in Saccharomyces cerevisiae, a salinity sensitive yeast mutant, enhanced its drought, oxidative, and salinity stresses tolerance. | NO
8228783 | Verticillium | salinity | potato | In this study, two detrimental pathogens, Verticillium dahlia cause potato early drying and Alternaria solani causal agent of early blight were studied for their interaction with salinity. | NO
9121094 | Bacillus atrophaeus | salt | Zea mays | The effects of Bacillus atrophaeus WZYH01 YL07 and Planococcus soli WZYH02 YL10 on the growth and development of maize Zea mays L. under salt stress ECe = 5.9 dS/m were further studied. | NO
9733834 | Saccharomyces cerevisiae | salinity | date palm | The function of date palm salinity responsive genes was studied by -REF-, who showed that the expression of the Phoenix dactylifera metallothionein gene PdMT2A in Saccharomyces cerevisiae, a salinity sensitive yeast mutant, enhanced its drought, oxidative, and salinity stresses tolerance. | NO
10671349 | Pseudomonas putida | drought | chickpea | In another study, researchers studied the involvement of miRNAs in Pseudomonas putida RA-mediated drought tolerance in chickpea plants. | NO
9733834 | Saccharomyces cerevisiae | salinity | Phoenix dactylifera | The function of date palm salinity responsive genes was studied by -REF-, who showed that the expression of the Phoenix dactylifera metallothionein gene PdMT2A in Saccharomyces cerevisiae, a salinity sensitive yeast mutant, enhanced its drought, oxidative, and salinity stresses tolerance. | NO
10671349 | Cronobacter dublinensis | drought | pearl millet | -REF- studied the effects of two endophytic bacteria, Shewanella putrefaciens strain MCL-1 and Cronobacter dublinensis strain MKS-1, on pearl millet under drought conditions. | NO
9608499 | Bacillus | salt | Wheat | Regulation of Photosynthesis in Wheat by BACILLUS Strains Wheat plants inoculated with Bacillus strains under salt stress conditions were studied for photosynthesis and stomatal conductance regulation. | NO
8228783 | Alternaria solani | salinity | potato | In this study, two detrimental pathogens, Verticillium dahlia cause potato early drying and Alternaria solani causal agent of early blight were studied for their interaction with salinity. | NO
9608499 | BACILLUS | salt | Wheat | Regulation of Photosynthesis in Wheat by BACILLUS Strains Wheat plants inoculated with Bacillus strains under salt stress conditions were studied for photosynthesis and stomatal conductance regulation. | NO
7933552 | Aspergillus aculeatus | heat | perennial ryegrass | To further elucidate the regulatory mechanism of Aspergillus aculeatus to photosynthesis in perennial ryegrass under drought and heat stress, the fluorescence parameters were extracted and calculated from the OJIP curves. | NO
8393639 | Escherichia coli | drought | Salicornia | SbDREB2A improved abiotic stress tolerance in Escherichia coli; this gene is an A-2 type DREB transferred from the halophyte Salicornia brachiate, and its appearance was encouraged by heat stress, NaCl, and drought -REF-. | NO
8071382 | Rhizophagus | salinity | tomato | Under salinity, Rhizophagus intraradices-mediated growth stimulation was higher in more salt-tolerant tomato cultivar, Piazar than sensitive cultivar, Behta. | NO
8001772 | Kosakonia radicincitans | drought | tomato | There is evidence that many genera of bacteria can be a PGPB, for example Bacillus amyloliquefaciens, which confers protection in rice cultivation to stress caused by salinity and drought -REF-, Kosakonia radicincitans, which affects the number of amino acids, sugar and volatile compounds improving the flavor of the tomato -REF-, or even Variovorax paradoxus, which helps reduce fertilization in drought conditions of this same vegetable -REF-. | NO
10574504 | cyanobacteria | salinity | green algae | Microalgae: Adaptation Strategies to Salinity Stress Include a Central Role for Amino Acids A generally accepted definition of microalgae includes an informal group of unicellular photosynthetic organisms encompassing prokaryotic e.g., cyanobacteria and eukaryotic from the model green algae Chlamydomonas reinhardtii to evolutionary enigmatic diatoms organisms. | NO
10574504 | cyanobacteria | salinity | diatoms | Microalgae: Adaptation Strategies to Salinity Stress Include a Central Role for Amino Acids A generally accepted definition of microalgae includes an informal group of unicellular photosynthetic organisms encompassing prokaryotic e.g., cyanobacteria and eukaryotic from the model green algae Chlamydomonas reinhardtii to evolutionary enigmatic diatoms organisms. | NO
11208634 | Bacillus subtilis | osmotic stress | rice | Bacterial cultures consisting of endophytic PGPR Bacillus subtilis and Bacillus aryabhattai and an epiphytic PGPR Bacillus aryabhattai were administered at three critical stages: transplantation of 42-day-old seedlings, vegetative stage at five weeks post-transplantation, and panicle initiation stage at seven weeks post-transplantation.ResultsSalt stress induced osmotic stress, ionic imbalances, and oxidative damage in rice plants, with consequent negative effects on growth, decrease in photosynthetic efficiency, and changes in hormonal regulation, along with increased methylglyoxal MG toxicity. | NO
10745732 | endophytic bacterium | drought | wheat | We hypnotized that endophytic bacterium Bacillus subtilis 10-4 BS, known for its plant growth-promoting properties -REF-, -REF-, -REF-, -REF-, enhances tolerance of wheat genotypes contrasting in drought sensitivity differently influencing the hormonal balance, specifically ABA, IAA, and CK, which are involved in protective responses and stress adaptation in plants. | NO
10516563 | Pseudomonas | salt | rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
10516563 | Pseudomonas | salt | wild rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
7820118 | Staphylococcus | salinity | tomato | In this article, we present data on the effects of salinity stress on photosynthesis in tomato Lycoperiscon esculentum L. and rice Oryza sativa L. under the influence of halotolerant bacteria, Staphylococcus sciuri ET101. | NO
8869415 | Dermacoccus abyssi | salt | Solanum lycopersicum | Plant Growth Condition and Bacterial Inoculation Tomato Solanum lycopersicum, Raf tomato was chosen as a model plant to study the potential of Dermacoccus abyssi MT1.1T to mitigate salt stress. | NO
10578444 | Verticillium dahliae | drought | sunflower | For example, CNGCs have been implicated in clubroot resistance, sunflower genotype resistance to Verticillium dahliae, and rice responses to bacterial pathogens and drought stress -REF-. | NO
8877356 | Pseudomonas syringae | drought | Arabidopsis | The overexpression of CBP60g in Arabidopsis increased SA accumulation, tolerance to drought stress, expression of the defense genes, and resistance to Pseudomonas syringae -REF-. | NO
8952307 | Pseudomonas syringae | heat | broccoli | For salt, ABA and SA treatments, the roots of broccoli plants were immersed in nutrient solution containing 100 mM NaCl, 5 µM ABA and 2 mM SA, respectively, at room temperature; for heat treatment, hydroponic seedlings were transferred into a 37 °C growth chamber; for pathogen treatment, the Pseudomonas syringae pv. | NO
11121501 | Fusarium | saline conditions | tomato | Increased incidence of Fusarium wilt in Solanum lycopersicum tomato under salt stress was found to be caused by more sporulation of the fungi under saline conditions. | NO
10516563 | Bacillus | salt | rice | Among them six different genera Bacillus, Microbacterium, Achromobacter, Paraburkholderia, Aeromonas, Pseudomonas were isolated from commercial rice and seven different genera Bacillus, Aeromonas, Achromobacter, Microbacterium, Staphylococcus, Oerskovia, Cellulomonas from wild rice from both control unpaired and paired conditions under 0mM and 100mM salt stress. | NO
10097229 | Pseudomonas putida | salt | Mentha piperita | Taking into account these properties of direct inoculation, as well as VOC emission from Pseudomonas putida native to the Mentha piperita rhizosphere, we proposed to determine their capability for helping plants to cope with adverse salt stress conditions. | NO
10027718 | Magnaporthe oryzae | salt | rice | This strain inhibited Magnaporthe oryzae growth and promoted rice growth under salt stress. | NO
9608499 | Bacillus | salt | wheat | Expression Analysis of Growth and Salt Related Genes in Wheat The expression of genes related to growth promotion and salt resistance in wheat plants under saline conditions were analysed in the presence of Bacillus strains NMCN1, LLCG23 and FZB42. | NO
8952307 | Pseudomonas syringae DC3000 | heat | broccoli | In order to get an idea of the transcriptional regulations of BoPROPEPs under stress, we explored the expression changes of BoPROPEP1 to BoPROPEP4 in 11-day-old broccoli leaves and roots in response to NaCl 100 mM, heat 37 °C, ABA 5 µM, SA 2 mM and Pseudomonas syringae DC3000 OD600 = 0.02 treatments. | NO
7155768 | Bacillus licheniformis | drought | maize | Here, we used the automated high throughput phenotyping screening facility PhenoLab that allows precise control of soil watering to decipher the potential of spore forming Bacillus licheniformis FMCH001 in increasing drought tolerance in maize. | NO
7933552 | Aspergillus | drought | perennial ryegrass | Thus, to expound on the physiological responses of Aspergillus aculeatus-regulated perennial ryegrass to drought and heat stresses, important indicators such as the membrane stabilization, antioxidant enzymes activities, photosynthetic performance, compatible solutes, and genes expression level as measured. | NO
9923114 | Phytophthora infestans | drought | tomato | Also, insertion of gene MYB49 lead to increased POD, SOD activity, chlorophyll content offering better resistance to drought, salinity and pathogen Phytophthora infestans in tomato -REF-. | NO
10097229 | Pseudomonas putida | salt | peppermint | Thus, the present survey was designed to analyze the bioactivity of mVOCs emitted by Pseudomonas putida grown under control and salt stress conditions as a biocontrol of phytopathogenic fungi and as a plant growth promoter: i exploring whether VOCs produced by native Pseudomonas putida under salt stress conditions affect the tolerance of peppermint plants; ii determining if mVOCs produced by Pseudomonas putida under salt stress conditions affect the growth of major fungal phytopathogens; and iii verifying whether the salt condition of growth media affects the VOC emissions of Pseudomonas putida. | NO
11133442 | Bacillus megaterium | drought | chickpea | Similarly, reduced proline levels have also been reported in chickpea inoculated with Bacillus subtilis, Bacillus thuringiensis and Bacillus megaterium along with salicylic and putrescine under drought stress -REF-. | NO
9428627 | Glomus | drought-stressed | maize | Cross-sections of leaves from drought-stressed maize treated at the seed stage with Glomus sp. | NO
6892996 | Baculovirus | salinity | Citrus | Genes involved in programmed cell death PCD are also successfully reported for development of salinity tolerant transgenic rice using genes like AtBAG4 from Arabidopsis, p35 from Baculovirus, Hsp70 from Citrus tristeza virus and SfIAP from Spodoptera frugiperda Hoang et al. | NO
11208634 | Bacillus aryabhattai | osmotic stress | rice | Bacterial cultures consisting of endophytic PGPR Bacillus subtilis and Bacillus aryabhattai and an epiphytic PGPR Bacillus aryabhattai were administered at three critical stages: transplantation of 42-day-old seedlings, vegetative stage at five weeks post-transplantation, and panicle initiation stage at seven weeks post-transplantation.ResultsSalt stress induced osmotic stress, ionic imbalances, and oxidative damage in rice plants, with consequent negative effects on growth, decrease in photosynthetic efficiency, and changes in hormonal regulation, along with increased methylglyoxal MG toxicity. | NO
9961515 | Cladosporium fulvum | drought | Tomato | Therefore, we analyzed and compared the transcriptomic responses of resistant and susceptible genotypes to seven biotic stresses Cladosporium fulvum, Phytophthora infestans, Pseudomonas syringae, Ralstonia solanacearum, Sclerotinia sclerotiorum, Tomato spotted wilt virus TSWV and Tuta absoluta and five abiotic stresses drought, salinity, low temperatures, and oxidative stress to identify genes involved in response to multiple stressors. | NO
